seed,main_accuracy,main_precision,main_recall,main_auc,main_f1,occ_accuracy,occ_precision,occ_recall,occ_auc,occ_f1,vec_only_accuracy,vec_only_precision,vec_only_recall,vec_only_auc,vec_only_f1,a_acc,a_precision,a_recall,a_auc,a_f1,best_a
11,0.7619621753692627,0.5319148898124695,0.4399999976158142,0.6550160646438599,0.4816112084063048,0.7281865477561951,0.5725338459014893,0.39414113759994507,0.6334185004234314,0.4668769716088328,0.7969440817832947,0.323017418384552,0.5186335444450378,0.6784853339195251,0.3980929678188319,0.7953357696533203,0.3500967025756836,0.5112994313240051,0.6768873929977417,0.41561423650975887,0.8
30,0.7812625765800476,0.5415861010551453,0.47700169682502747,0.6761324405670166,0.5072463768115942,0.7744269967079163,0.5125725269317627,0.46167248487472534,0.6649711728096008,0.48579285059578364,0.7876960039138794,0.4912959337234497,0.489402711391449,0.6778822541236877,0.4903474903474903,0.8045838475227356,0.4584139287471771,0.5349887013435364,0.6990011930465698,0.49375,0.55
2022,0.7876960039138794,0.5435203313827515,0.49040138721466064,0.683549702167511,0.5155963302752294,0.7498995065689087,0.5357833504676819,0.4203338325023651,0.6445214152336121,0.47108843537414963,0.7945315837860107,0.3520309329032898,0.5083798766136169,0.6755144596099854,0.416,0.7925211191177368,0.41586074233055115,0.501165509223938,0.6772105097770691,0.45454545454545453,0.6000000000000001
9,0.7724165916442871,0.5299806594848633,0.45896148681640625,0.6651949882507324,0.4919210053859964,0.7611580491065979,0.5454545617103577,0.4399375915527344,0.6563175916671753,0.48704663212435234,0.7925211191177368,0.359767884016037,0.5013477206230164,0.6724603176116943,0.4189189189189189,0.7933253049850464,0.3713732957839966,0.5039370059967041,0.6748080253601074,0.42761692650334077,0.8500000000000001
49,0.786489725112915,0.5241779685020447,0.4874100685119629,0.6800073981285095,0.5051258154706431,0.7675914764404297,0.4719535708427429,0.4444444477558136,0.6517887711524963,0.45778611632270166,0.7876960039138794,0.3268858790397644,0.48424068093299866,0.6607358455657959,0.39030023094688227,0.7989545464515686,0.38104447722435,0.5225464105606079,0.6854438185691833,0.44071588366890385,0.7000000000000001
1,0.7700040340423584,0.5473887920379639,0.4557165801525116,0.6651573777198792,0.4973637961335676,0.7595496773719788,0.5377175807952881,0.4364207088947296,0.6536157727241516,0.4818024263431543,0.7860876321792603,0.44294002652168274,0.48414376378059387,0.6705724000930786,0.4626262626262626,0.7973461747169495,0.4564796984195709,0.514161229133606,0.6878005266189575,0.48360655737704916,0.7000000000000001
2,0.7852834463119507,0.5338491201400757,0.48506152629852295,0.6797049045562744,0.5082872928176796,0.7627663612365723,0.5570599436759949,0.44375962018966675,0.6595838665962219,0.4939965694682676,0.7945315837860107,0.43520310521125793,0.5067567825317383,0.6819148659706116,0.46826222684703434,0.8045838475227356,0.44680851697921753,0.5359628796577454,0.6984288692474365,0.4873417721518987,0.6000000000000001
3,0.776839554309845,0.4719535708427429,0.463878333568573,0.6623318195343018,0.46788111217641415,0.7583433985710144,0.5125725269317627,0.4315961003303528,0.6485261917114258,0.4686118479221928,0.794129490852356,0.40812379121780396,0.5059952139854431,0.6790845990180969,0.45182012847965736,0.7985524535179138,0.40232107043266296,0.5199999809265137,0.6859702467918396,0.4536532170119956,0.9500000000000001
37,0.7957378625869751,0.45261120796203613,0.5098039507865906,0.6851288080215454,0.47950819672131145,0.7784479260444641,0.4835589826107025,0.4681648015975952,0.6657260060310364,0.4757373929590866,0.7933253049850464,0.3713732957839966,0.5039370059967041,0.6748080253601074,0.42761692650334077,0.7957378625869751,0.3675048351287842,0.5121293663978577,0.6787962317466736,0.42792792792792794,0.8500000000000001
8,0.7800562977790833,0.5744680762290955,0.4759615361690521,0.678936243057251,0.5205959684487291,0.7643747329711914,0.5512572526931763,0.44600939750671387,0.6602341532707214,0.4930795847750865,0.8053880333900452,0.3636363744735718,0.5481049418449402,0.6973267197608948,0.43720930232558136,0.8110172748565674,0.3713732957839966,0.5697329640388489,0.7092850208282471,0.44964871194379397,0.8500000000000001
mean,0.7797748446464539,0.5251451134681702,0.4744196832180023,0.6731160283088684,0.497513710264747,0.760474443435669,0.5280464291572571,0.4386480450630188,0.6538703441619873,0.47818188274936074,0.7932850122451782,0.3874274790287018,0.5050941705703735,0.6768785119056702,0.4361194454814,0.7991958856582642,0.4021276831626892,0.5225923657417297,0.6873632669448853,0.45344206876401233,0.7450000000000001
std,0.00983649305999279,0.03616613894701004,0.0202295184135437,0.010312005877494812,0.01704565956160397,0.013940502889454365,0.03235311433672905,0.020784366875886917,0.009896994568407536,0.01207997050786805,0.005563315935432911,0.05501192808151245,0.01880601979792118,0.009297377429902554,0.03204598481883545,0.005845927633345127,0.04020699858665466,0.020211713388562202,0.011489699594676495,0.027101203783938373,0.13426756040748553
