seed,main_accuracy,main_precision,main_recall,main_auc,main_f1,occ_accuracy,occ_precision,occ_recall,occ_auc,occ_f1,vec_only_accuracy,vec_only_precision,vec_only_recall,vec_only_auc,vec_only_f1,a_acc,a_precision,a_recall,a_auc,a_f1,best_a
11,0.7599517703056335,0.6054158806800842,0.44334277510643005,0.6644002199172974,0.5118560915780868,0.7547245621681213,0.6170212626457214,0.4363885223865509,0.6618161201477051,0.5112179487179487,0.7961399555206299,0.3539651930332184,0.5140449404716492,0.6786555647850037,0.41924398625429554,0.8041817545890808,0.44680851697921753,0.5347222089767456,0.6977747678756714,0.4868282402528978,0.65
30,0.7519099116325378,0.6189554929733276,0.4324324429035187,0.6598338484764099,0.5091487669053302,0.7764374613761902,0.5589941740036011,0.468395471572876,0.6732352375984192,0.5097001763668431,0.7897064685821533,0.41005802154541016,0.49302324652671814,0.6723745465278625,0.4477296726504752,0.7925211191177368,0.4680851101875305,0.501035213470459,0.6819047927856445,0.48400000000000004,0.65
2022,0.7595496773719788,0.5802707672119141,0.44052863121032715,0.6601868271827698,0.5008347245409015,0.782468855381012,0.5048356056213379,0.4780219793319702,0.6730656027793884,0.49106302916274697,0.7897064685821533,0.365570604801178,0.4921875,0.6681098937988281,0.41953385127635956,0.8049859404563904,0.42553192377090454,0.5392156839370728,0.6981792449951172,0.4756756756756756,0.5
9,0.7647768259048462,0.5744680762290955,0.44864049553871155,0.6640462279319763,0.5038167938931297,0.7756332755088806,0.5377175807952881,0.4656616449356079,0.6696032881736755,0.49910233393177733,0.7905106544494629,0.2920696437358856,0.49346405267715454,0.6628255248069763,0.3669501822600243,0.8025733828544617,0.3791102468967438,0.5355191230773926,0.692087709903717,0.4439411098527747,0.7000000000000001
49,0.7587454915046692,0.582205057144165,0.4394160509109497,0.6597746014595032,0.5008319467554077,0.7683956623077393,0.5299806594848633,0.4514003396034241,0.6610724925994873,0.4875444839857651,0.7872939109802246,0.37330755591392517,0.4849246144294739,0.6649132370948792,0.42185792349726775,0.7957378625869751,0.41005802154541016,0.5108433961868286,0.6818212866783142,0.45493562231759654,0.65
1,0.7611580491065979,0.601547360420227,0.4449213147163391,0.6648543477058411,0.5115131578947368,0.7691998481750488,0.5087040662765503,0.4511149227619171,0.6588557958602905,0.47818181818181815,0.8041817545890808,0.3675048351287842,0.5428571701049805,0.6949194669723511,0.43829296424452135,0.8045838475227356,0.42940038442611694,0.537530243396759,0.6976464986801147,0.4774193548387097,0.55
2,0.7679935693740845,0.601547360420227,0.45601174235343933,0.6709421873092651,0.5187656380316931,0.7880980968475342,0.4932301640510559,0.49038460850715637,0.6785933971405029,0.4918032786885245,0.8033775687217712,0.3771760165691376,0.5386740565299988,0.6935723423957825,0.44368600682593856,0.8073984980583191,0.41586074233055115,0.5484693646430969,0.7021582722663879,0.4730473047304731,0.75
3,0.7623642683029175,0.5551257133483887,0.44290122389793396,0.6589166522026062,0.49270386266094424,0.7567350268363953,0.5338491201400757,0.4312500059604645,0.6503841280937195,0.4770959377700951,0.7635705471038818,0.39264988899230957,0.42557650804519653,0.634678840637207,0.4084507042253521,0.7852834463119507,0.41199225187301636,0.4808126389980316,0.6660423278808594,0.44375000000000003,0.8500000000000001
37,0.7792521119117737,0.6112185716629028,0.47590360045433044,0.6828229427337646,0.5351397121083827,0.7607559561729431,0.5628626942634583,0.44090908765792847,0.6586045622825623,0.49447748513169076,0.8053880333900452,0.42940038442611694,0.540145993232727,0.6990228891372681,0.47844827586206895,0.8082026243209839,0.4719535708427429,0.5446428656578064,0.7053768634796143,0.5056994818652849,0.65
8,0.792119026184082,0.5957446694374084,0.5,0.694147527217865,0.5436893203883495,0.7611580491065979,0.6054158806800842,0.4452347159385681,0.6654424667358398,0.5131147540983607,0.7860876321792603,0.44487428665161133,0.4842105209827423,0.6707831621170044,0.4637096774193548,0.7977482676506042,0.45067697763442993,0.5154867172241211,0.6879644989967346,0.4809081527347781,0.75
mean,0.7657820582389832,0.5926498770713806,0.4524098336696625,0.6679925322532654,0.5128300014756962,0.7693606615066528,0.5452610850334167,0.45587611198425293,0.6650673151016235,0.495330124603557,0.7915962934494019,0.3806576728820801,0.5009108781814575,0.6739855408668518,0.4307903244515658,0.8003216981887817,0.43094778060913086,0.5248277187347412,0.6910956501960754,0.47262049422681907,0.6700000000000002
std,0.011684875003993511,0.019346656277775764,0.02049868181347847,0.01168308686465025,0.015901173818970174,0.011196457780897617,0.04131856933236122,0.019148340448737144,0.008542919531464577,0.012944256016438437,0.01225048303604126,0.04286271333694458,0.03543530032038689,0.01906070113182068,0.031231981766269158,0.0073538608849048615,0.02875882387161255,0.02190476283431053,0.011892944574356079,0.01970778325940777,0.10055402085998906
